:grinning:	😀
:children_crossing:	🚸
:trident:	🔱
:fleur-de-lis:	⚜
:beginner:	🔰
:recycle:	♻
:white_check_mark:	✅
:u6307:	🈯
:chart:	💹
:sparkle:	❇
:eight_spoked_asterisk:	✳
:negative_squared_cross_mark:	❎
:globe_with_meridians:	🌐
:diamond_shape_with_a_dot_inside:	💠
:m:	Ⓜ
:cyclone:	🌀
:zzz:	💤
:atm:	🏧
:wc:	🚾
:wheelchair:	♿
:parking:	🅿
:u7a7a:	🈳
:sa:	🈂
:passport_control:	🛂
:customs:	🛃
:baggage_claim:	🛄
:left_luggage:	🛅
:mens:	🚹
:womens:	🚺
:baby_symbol:	🚼
:restroom:	🚻
:put_litter_in_its_place:	🚮
:cinema:	🎦
:signal_strength:	📶
:koko:	🈁
:symbols:	🔣
:information_source:	ℹ
:abc:	🔤
:abcd:	🔡
:capital_abcd:	🔠
:ng:	🆖
:ok:	🆗
:up:	🆙
:cool:	🆒
:new:	🆕
:free:	🆓
:keycap_ten:	🔟
:1234:	🔢
:arrow_forward:	▶
:pause_button:	⏸
:double_vertical_bar:	⏸
:play_pause:	⏯
:stop_button:	⏹
:record_button:	⏺
:eject:	⏏
:eject_symbol:	⏏
:track_next:	⏭
:next_track:	⏭
:track_previous:	⏮
:previous_track:	⏮
:fast_forward:	⏩
:rewind:	⏪
:arrow_double_up:	⏫
:arrow_double_down:	⏬
:arrow_backward:	◀
:arrow_up_small:	🔼
:arrow_down_small:	🔽
:arrow_right:	➡
:arrow_left:	⬅
:arrow_up:	⬆
:arrow_down:	⬇
:arrow_upper_right:	↗
:arrow_lower_right:	↘
:arrow_lower_left:	↙
:arrow_upper_left:	↖
:arrow_up_down:	↕
:left_right_arrow:	↔
:arrow_right_hook:	↪
:leftwards_arrow_with_hook:	↩
:arrow_heading_up:	⤴
:arrow_heading_down:	⤵
:twisted_rightwards_arrows:	🔀
:repeat:	🔁
:repeat_one:	🔂
:arrows_counterclockwise:	🔄
:arrows_clockwise:	🔃
:musical_note:	🎵
:notes:	🎶
:heavy_plus_sign:	➕
:heavy_minus_sign:	➖
:heavy_division_sign:	➗
:heavy_multiplication_x:	✖
:heavy_dollar_sign:	💲
:currency_exchange:	💱
:tm:	™
:copyright:	©
:registered:	®
:wavy_dash:	〰
:curly_loop:	➰
:loop:	➿
:end:	🔚
:back:	🔙
:on:	🔛
:top:	🔝
:soon:	🔜
:heavy_check_mark:	✔
:ballot_box_with_check:	☑
:radio_button:	🔘
:white_circle:	⚪
:black_circle:	⚫
:red_circle:	🔴
:blue_circle:	🔵
:small_red_triangle:	🔺
:small_red_triangle_down:	🔻
:small_orange_diamond:	🔸
:small_blue_diamond:	🔹
